TIME	Sat + Tue				Sat	Sun + Wed				Sun	Mon	Tue	Wed	Thu	Fri
	WEB	SE	ML	FMA	MM-lab	WEB	SE	ML	FMA	MM-lab	MM-lab	MM-lab	MM-lab	xxx	xxx
8:30	A	SaKar-A	A	IJ-A	MSTR-A	PB-D	E	AsAr-B		C		ArBh-F	I	x	x
	SmSd-I					SmSd-V							L	x	x
	PB-R													x	x
9:50		MMIN-K		ShAz-B			SaKar-F							x	x
11:10	AsAr-B	B		ItJn-C	ArBh-B	SmSd-E	MBAd-G	SaIs-G	IJ-E	RNF-D	MfSh-M	G	RNF-J	x	x
	NHn-S					NHn-L								x	x
	MdShA-T					MdShA-N								x	x
						O								x	x
						MdShA-Q								x	x
12:30		C	Ojn-E				SSSk-H		IJ-F					x	x
13:50	RNF-C	SSSk-D	D			NHn-G	MBAd-I	F	MdAHn-G	AbHn-E		MSTR-H	K	x	x
	RNF-H					MahHsn-K							N	x	x
	MahHsn-J					M								x	x
						MahHsn-P								x	x
15:10		L		KYH-D			J	SaIs-C	ItJn-H					x	x
