TIME	Sat + Tue				Sun + Wed				Sun	Mon	Tue	Wed	Thu	Fri
	WEB	SE	Econ	FMA	WEB	SE	Econ	FMA	CN-lab	CN-lab	CN-lab	CN-lab	xxx	xxx
8:30	A	SaKar-A	SCT-D	IJ-A	PB-D	E				TaH-A	E	AIMM-I	x	x
	SmSd-I				SmSd-V							L	x	x
	PB-R												x	x
9:50		MMIN-K		ShAz-B		SaKar-F	TaA-E						x	x
11:10	AsAr-B	B	TaA-C	ItJn-C	SmSd-E	MBAd-G	F	IJ-E	TaH-B	SBZ-F	TaH-H	J	x	x
	NHn-S				NHn-L				D				x	x
	MdShA-T				MdShA-N								x	x
					O								x	x
					MdShA-Q								x	x
12:30		C	AAsh-A			SSSk-H		IJ-F					x	x
13:50	RNF-C	SSSk-D	TaA-B		NHn-G	MBAd-I	SMRn-G	MdAHn-G	AIMM-C	TaH-G		MdMH-K	x	x
	RNF-H				MahHsn-K								x	x
	MahHsn-J				M								x	x
					MahHsn-P								x	x
15:10		L		KYH-D		J	SMRn-H	ItJn-H					x	x
