TIME	Sat + Tue			Sat		Sun + Wed			Sun			Mon		Tue			Wed			Thu	Fri
	CN	ML	PMG	MM-lab	PHY-lab	CN	ML	PMG	MM-lab	CN-lab	PHY-lab	MM-lab	CN-lab	MM-lab	CN-lab	PHY-lab	MM-lab	CN-lab	PHY-lab	xxx	xxx
8:30	ASKP-A	A	RJR-A	MSTR-A	MSIs-A	AKMMI-F	AsAr-B	RJR-E	C		SaDa-E		TaH-A	ArBh-F	E	MNHn-K	I	AIMM-I		x	x
											MNHn-J						L	L		x	x
9:50	MNK-B		MdMH-B			G		MdMH-F												x	x
11:10	ASKP-C		RJR-C	ArBh-B	HaHR-B	AKMMI-H	SaIs-G	MdMH-G	RNF-D	TaH-B	MSIs-F	MfSh-M	SBZ-F	MdMeHn-G	TaH-H	MSIs-L	RNF-J	J	MSIs-G	x	x
										D										x	x
12:30	AIMM-D	Ojn-E				I														x	x
13:50	AIMM-E	D	MdMH-D		SaDa-C	ME-J	KFT-F	SSSf-H	AbHn-E	AIMM-C	RBS-I		TaH-G	MSTR-H			MdMeHn-K	MdMH-K	HaHR-H	x	x
					RBS-D												N			x	x
15:10						ME-K	SaIs-C	SSSf-I												x	x
