TIME	Sat + Tue			Sat		Sun + Wed			Sun		Mon		Tue		Wed		Thu	Fri
	WEB	MM	OS	MM-lab	OS-lab	WEB	MM	OS	MM-lab	OS-lab	MM-lab	OS-lab	MM-lab	OS-lab	MM-lab	OS-lab	xxx	xxx
8:30	A		NaFS-A	MSTR-A	J	PB-D	I	E	C	NaFS-B		MEHq-D	ArBh-F		I		x	x
	SmSd-I					SmSd-V	K								L		x	x
	PB-R																x	x
9:50		J					MSTR-D										x	x
11:10	AsAr-B	MSTR-A		ArBh-B		SmSd-E	ArBh-F	F	RNF-D		MfSh-M	SYH-G	G	FzAn-E	RNF-J		x	x
	NHn-S					NHn-L						ABF-H					x	x
	MdShA-T					MdShA-N											x	x
						O											x	x
						MdShA-Q											x	x
12:30		C	NaFS-B				ArBh-H										x	x
13:50	RNF-C	E	MdSam-C		A	NHn-G		MdSam-G	AbHn-E			SYH-C	MSTR-H		K	NaFS-I	x	x
	RNF-H					MahHsn-K						MEHq-F			N		x	x
	MahHsn-J					M											x	x
						MahHsn-P											x	x
15:10			MSdHn-D				MSTR-B	MSdHn-H									x	x
