TIME	Sat + Tue				Sat	Sun + Wed				Sun	Mon	Tue	Wed	Thu	Fri
	WEB	MM	ML	PMG	MM-lab	WEB	MM	ML	PMG	MM-lab	MM-lab	MM-lab	MM-lab	xxx	xxx
8:30	A		A	RJR-A	MSTR-A	PB-D	I	AsAr-B	RJR-E	C		ArBh-F	I	x	x
	SmSd-I					SmSd-V	K						L	x	x
	PB-R													x	x
9:50		J		MdMH-B			MSTR-D		MdMH-F					x	x
11:10	AsAr-B	MSTR-A		RJR-C	ArBh-B	SmSd-E	ArBh-F	SaIs-G	MdMH-G	RNF-D	MfSh-M	MdMeHn-G	RNF-J	x	x
	NHn-S					NHn-L								x	x
	MdShA-T					MdShA-N								x	x
						O								x	x
						MdShA-Q								x	x
12:30		C	Ojn-E				ArBh-H							x	x
13:50	RNF-C	E	D	MdMH-D		NHn-G		KFT-F	SSSf-H	AbHn-E		MSTR-H	MdMeHn-K	x	x
	RNF-H					MahHsn-K							N	x	x
	MahHsn-J					M								x	x
						MahHsn-P								x	x
15:10							MSTR-B	SaIs-C	SSSf-I					x	x
